id,name,text,trans
0000000000000,美鈴,今日はラジオの公開収録ですね。,
0000000000000,美鈴,お便りのリストを受け取っていると、\n聞きました。,
0000000000000,{user},はい。本番前に、\nいくつか読んでみましょうか。,
select,,『勉強を\nしたくない』,
select,,『食べたいものを\n我慢できない』,
select,,『友達と\n仲直りしたい』,
0000000000000,美鈴,嫌々するのはよくありません。\n気分転換にお昼寝でもしましょう。,
0000000000000,{user},お便りにはちゃんと、\n応えられていたな。,
0000000000000,美鈴,我慢は体に毒ですよ。\nおいしくいただいてしまいましょう。,
0000000000000,{user},お便りにはちゃんと、\n応えられていたな。,
0000000000000,美鈴,……応援します。\n喧嘩したままは、寂しいですから。,
0000000000000,{user},お便りにはちゃんと、\n応えられていたな。,
info,adv_pevent_002_hmsz_sales_2-004-01.txt,,
译者,,,
