id,name,text,trans
0000000000000,星南,なんだか……\n今日はやたらと賑わっているわね？,
0000000000000,{user},どうやら商店街スタンプラリー\nというものをやっているみたいですよ。,
0000000000000,{user},集めたスタンプの数に応じて、\n景品がもらえるようです。,
0000000000000,星南,へえ……,
0000000000000,{user},（……興味があるのだろうか？）,
select,,やってみますか？,
select,,今日はやめて\nおきましょう,
0000000000000,{user},息抜きがてら、商店街を巡るのも\nおもしろいかもしれませんよ。,
0000000000000,星南,そうね……せっかくだし\nやってみようかしら。,
0000000000000,{user},マップを見たところ、\nかなり歩くことになりそうです。,
0000000000000,{user},今から始めると遅くなってしまうので、\nやるならまた今度にしましょう。,
0000000000000,星南,……それもそうね。\nまた改めて来ることにするわ。,
info,adv_pevent_001_jsna_activity_017-01.txt,,
译者,,,
